match_type,pitch_type,weather,ground,your_team,opposition_team,bowler_name,bowler_type,wickets,runs,economy,did_bowler_do_well
ODI,Spinning,Sunny,Mirpur,Bangladesh,India,ShakibAlHasan,LeftArmSpin,3,33,4.6,1
T20,Green,Cloudy,OldTrafford,England,Pakistan,Wood,RightArmFast,2,26,6.5,1
ODI,Flat,Hot,Gaddafi,Pakistan,SouthAfrica,ShadabKhan,LegSpin,2,47,5.1,1
T20,Spinning,Dry,Sharjah,Afghanistan,Bangladesh,MujeebUrRahman,OffSpin,1,29,7.2,0
ODI,Slow,Overcast,Pallekele,SriLanka,WestIndies,Theekshana,OffSpin,2,38,4.7,1
T20,Flat,Sunny,EdenPark,NewZealand,Australia,Santner,LeftArmSpin,1,27,6.8,1
ODI,Green,Cloudy,HagleyOval,NewZealand,England,Boult,LeftArmFast,3,40,4.9,1
T20,Flat,Humid,Dubai,Pakistan,India,ShaheenAfridi,LeftArmFast,2,31,7.1,1
ODI,Spinning,Sunny,EdenGardens,India,Australia,Jadeja,LeftArmSpin,2,35,4.5,1
T20,Spinning,Sunny,Cardiff,England,Afghanistan,Rashid,LegSpin,2,22,5.5,1
ODI,Flat,Sunny,PortOfSpain,WestIndies,Bangladesh,Holder,RightArmMedium,1,50,5.6,0
T20,Slow,Humid,Mirpur,Bangladesh,SouthAfrica,Mustafizur,LeftArmFastMedium,2,28,7.0,1
ODI,Green,Overcast,Centurion,SouthAfrica,England,Ngidi,RightArmFastMedium,2,42,5.2,1
T20,Flat,Windy,Barbados,WestIndies,NewZealand,Russell,RightArmFastMedium,1,33,8.0,0
ODI,Spinning,Dry,Sharjah,Afghanistan,Pakistan,QaisAhmad,LegSpin,2,39,4.9,1
T20,Flat,Hot,SCG,Australia,WestIndies,Cummins,RightArmFast,1,32,8.0,0
ODI,Dry,Sunny,Lords,England,India,Woakes,RightArmFastMedium,2,46,4.8,1
T20,Spinning,Humid,Premadasa,SriLanka,Bangladesh,Hasaranga,LegSpin,3,19,4.9,1
ODI,Flat,Hot,Chinnaswamy,India,SouthAfrica,Shami,RightArmFast,1,55,5.7,0
T20,Green,Cloudy,TrentBridge,England,Australia,Archer,RightArmFast,2,29,7.0,1
ODI,Slow,Overcast,Mirpur,Bangladesh,Afghanistan,MehidyHasan,OffSpin,3,31,4.4,1
T20,Flat,Sunny,EdenPark,NewZealand,Pakistan,Ferguson,RightArmFast,1,34,8.2,0
ODI,Green,Cloudy,Johannesburg,SouthAfrica,India,Nortje,RightArmFast,3,37,5.0,1
T20,Spinning,Dry,Sharjah,Afghanistan,NewZealand,MujeebUrRahman,OffSpin,2,25,6.3,1
ODI,Flat,Sunny,Newlands,SouthAfrica,England,Parnell,LeftArmFastMedium,1,52,5.4,0
T20,Slow,Humid,Mirpur,Bangladesh,India,TaskinAhmed,RightArmFast,2,27,6.8,1
ODI,Spinning,Sunny,EdenGardens,India,Pakistan,KuldeepYadav,LegSpin,3,34,4.7,1
T20,Flat,Windy,Barbados,WestIndies,Australia,Allen,OffSpin,1,31,7.8,0
ODI,Green,Overcast,HagleyOval,NewZealand,SouthAfrica,Southee,RightArmFastMedium,2,43,4.9,1
T20,Flat,Hot,Dubai,Afghanistan,England,NaveenUlHaq,RightArmMedium,1,36,8.4,0
ODI,Dry,Sunny,Wankhede,India,WestIndies,AxarPatel,LeftArmSpin,2,39,4.8,1
T20,Spinning,Humid,Premadasa,SriLanka,Australia,Chameera,RightArmFast,1,30,7.5,0
ODI,Slow,Overcast,PortOfSpain,WestIndies,Pakistan,Roach,RightArmFast,2,44,4.9,1
T20,Green,Cloudy,OldTrafford,England,SouthAfrica,Topley,LeftArmFastMedium,2,24,6.0,1
ODI,Spinning,Sunny,Mirpur,Bangladesh,NewZealand,NasumAhmed,LeftArmSpin,2,37,4.7,1
T20,Flat,Sunny,SCG,Australia,India,Abbott,RightArmFastMedium,1,33,8.2,0
ODI,Flat,Hot,Gaddafi,Pakistan,Bangladesh,HasanAli,RightArmFastMedium,2,46,5.1,1
T20,Spinning,Dry,Sharjah,Afghanistan,SriLanka,Farooqi,LeftArmFast,2,26,6.5,1
ODI,Green,Cloudy,Lords,England,WestIndies,Wood,RightArmFast,3,38,4.8,1
T20,Slow,Humid,Pallekele,SriLanka,NewZealand,Karunaratne,LeftArmFastMedium,1,29,7.1,0
ODI,Dry,Sunny,Newlands,SouthAfrica,Afghanistan,Maharaj,LeftArmSpin,2,41,4.6,1
T20,Flat,Windy,Barbados,WestIndies,India,Cottrell,LeftArmFast,1,34,8.0,0
ODI,Spinning,Sunny,EdenGardens,India,SriLanka,Jadeja,LeftArmSpin,3,29,4.3,1
T20,Green,Cloudy,TrentBridge,England,Pakistan,Rashid,LegSpin,2,23,5.8,1
ODI,Slow,Overcast,Centurion,SouthAfrica,Australia,Ngidi,RightArmFastMedium,2,45,5.0,1
T20,Flat,Hot,Chinnaswamy,India,WestIndies,Siraj,RightArmFast,1,37,9.0,0
ODI,Flat,Sunny,PortOfSpain,WestIndies,England,Holder,RightArmMedium,2,48,5.3,0
T20,Spinning,Humid,Mirpur,Bangladesh,Pakistan,MehidyHasan,OffSpin,2,24,6.0,1
ODI,Green,Cloudy,HagleyOval,NewZealand,India,Boult,LeftArmFast,3,35,4.5,1
T20,Slow,Humid,Premadasa,SriLanka,Bangladesh,Theekshana,OffSpin,2,22,5.5,1
ODI,Dry,Sunny,AdelaideOval,Australia,SouthAfrica,Starc,LeftArmFast,2,46,5.0,1
T20,Flat,Sunny,EdenPark,NewZealand,WestIndies,Henry,RightArmFastMedium,1,32,8.0,0
ODI,Spinning,Sunny,EdenGardens,India,Afghanistan,Ashwin,OffSpin,2,37,4.7,1
T20,Green,Cloudy,OldTrafford,England,NewZealand,Archer,RightArmFast,2,27,6.8,1
ODI,Slow,Overcast,Pallekele,SriLanka,India,MatheeshaPathirana,RightArmFast,2,42,4.9,1
T20,Flat,Hot,Dubai,Afghanistan,SouthAfrica,NaveenUlHaq,RightArmMedium,1,35,8.3,0
ODI,Green,Overcast,Johannesburg,SouthAfrica,England,Rabada,RightArmFast,3,39,5.1,1
T20,Spinning,Dry,Sharjah,Afghanistan,Australia,QaisAhmad,LegSpin,2,25,6.2,1
ODI,Flat,Hot,Gaddafi,Pakistan,India,NaseemShah,RightArmFast,1,53,5.5,0
T20,Slow,Humid,Mirpur,Bangladesh,WestIndies,Mustafizur,LeftArmFastMedium,2,27,6.7,1
ODI,Spinning,Sunny,PortOfSpain,WestIndies,Bangladesh,AkealHosein,LeftArmSpin,2,40,4.8,1
T20,Flat,Sunny,SCG,Australia,England,Hazlewood,RightArmFastMedium,1,31,7.7,0
ODI,Green,Cloudy,Lords,England,SouthAfrica,Woakes,RightArmFastMedium,2,43,4.9,1
T20,Spinning,Humid,Premadasa,SriLanka,Pakistan,Hasaranga,LegSpin,3,21,5.3,1
ODI,Dry,Sunny,Newlands,SouthAfrica,Australia,Ngidi,RightArmFastMedium,1,50,5.4,0
T20,Flat,Windy,Barbados,WestIndies,Afghanistan,Russell,RightArmFastMedium,1,36,8.4,0
ODI,Spinning,Sunny,Mirpur,Bangladesh,India,ShakibAlHasan,LeftArmSpin,3,32,4.5,1
T20,Green,Cloudy,HagleyOval,NewZealand,England,Henry,RightArmFastMedium,2,26,6.3,1
ODI,Slow,Overcast,Pallekele,SriLanka,SouthAfrica,Theekshana,OffSpin,2,38,4.8,1
T20,Flat,Sunny,EdenPark,NewZealand,Pakistan,Ferguson,RightArmFast,1,34,8.1,0
ODI,Flat,Hot,Chinnaswamy,India,WestIndies,Shami,RightArmFast,2,52,5.4,0
T20,Spinning,Dry,Sharjah,Afghanistan,Bangladesh,RashidKhan,LegSpin,3,20,5.0,1
ODI,Green,Cloudy,Johannesburg,SouthAfrica,NewZealand,Nortje,RightArmFast,3,41,5.1,1
T20,Slow,Humid,Mirpur,Bangladesh,Australia,TaskinAhmed,RightArmFast,1,30,7.5,0
ODI,Spinning,Sunny,EdenGardens,India,England,KuldeepYadav,LegSpin,3,36,4.6,1
T20,Flat,Hot,Dubai,Afghanistan,India,MohammadNabi,OffSpin,1,33,8.2,0
ODI,Dry,Sunny,Newlands,SouthAfrica,WestIndies,Shamsi,LeftArmSpin,2,39,4.7,1
T20,Green,Cloudy,OldTrafford,England,Pakistan,Wood,RightArmFast,2,28,6.7,1
ODI,Slow,Overcast,PortOfSpain,WestIndies,SouthAfrica,Roach,RightArmFast,2,45,5.0,1
T20,Spinning,Humid,Premadasa,SriLanka,Afghanistan,Chameera,RightArmFast,1,29,7.2,0
ODI,Flat,Hot,Gaddafi,Pakistan,England,ShadabKhan,LegSpin,2,44,4.9,1
T20,Flat,Sunny,SCG,Australia,Pakistan,Starc,LeftArmFast,2,30,7.5,1
ODI,Spinning,Sunny,Mirpur,Bangladesh,WestIndies,MehidyHasan,OffSpin,3,34,4.5,1
T20,Green,Cloudy,TrentBridge,England,India,Archer,RightArmFast,2,27,6.6,1
ODI,Slow,Overcast,Pallekele,SriLanka,Bangladesh,MatheeshaPathirana,RightArmFast,2,40,4.8,1
T20,Flat,Windy,Barbados,WestIndies,SouthAfrica,AlzarriJoseph,RightArmFast,1,35,8.2,0
ODI,Dry,Sunny,AdelaideOval,Australia,NewZealand,Abbott,RightArmFastMedium,1,49,5.3,0
T20,Spinning,Dry,Sharjah,Afghanistan,WestIndies,QaisAhmad,LegSpin,2,24,6.0,1
ODI,Green,Cloudy,HagleyOval,NewZealand,Pakistan,Southee,RightArmFastMedium,2,42,4.9,1
T20,Slow,Humid,Mirpur,Bangladesh,India,Mustafizur,LeftArmFastMedium,2,25,6.4,1
ODI,Spinning,Sunny,EdenGardens,India,SouthAfrica,Jadeja,LeftArmSpin,3,31,4.3,1
T20,Flat,Hot,Dubai,Afghanistan,England,NaveenUlHaq,RightArmMedium,1,37,8.5,0
ODI,Green,Overcast,Johannesburg,SouthAfrica,Australia,Rabada,RightArmFast,3,38,5.0,1
T20,Green,Humid,Newlands,England,SriLanka,Topley,LegSpin,1,27,8.3,0
T20,Dry,Sunny,Newlands,Australia,Bangladesh,Abbott,RightArmFastMedium,3,25,8.1,1
ODI,Flat,Overcast,Cardiff,SriLanka,NewZealand,Karunaratne,RightArmMedium,2,52,6.3,0
T20,Slow,Humid,Premadasa,Bangladesh,India,MehidyHasan,OffSpin,2,27,6.9,1
ODI,Green,Cloudy,Centurion,SouthAfrica,Afghanistan,Rabada,RightArmFast,3,44,4.9,1
T20,Spinning,Sunny,Sharjah,Afghanistan,WestIndies,RashidKhan,LegSpin,2,21,5.9,1
ODI,Dry,Sunny,AdelaideOval,Australia,England,Starc,LeftArmFast,2,48,5.4,1
T20,Flat,Hot,Dubai,Pakistan,Bangladesh,NaseemShah,RightArmFast,1,39,9.3,0
ODI,Spinning,Sunny,Mirpur,Bangladesh,WestIndies,ShakibAlHasan,LeftArmSpin,3,37,4.5,1
T20,Green,Overcast,TrentBridge,England,India,Archer,RightArmFast,2,26,6.7,1
ODI,Slow,Overcast,Pallekele,SriLanka,Afghanistan,Theekshana,OffSpin,2,41,4.8,1
T20,Flat,Windy,Barbados,WestIndies,Australia,Russell,RightArmFastMedium,1,34,8.5,0
ODI,Flat,Hot,Gaddafi,Pakistan,NewZealand,ShadabKhan,LegSpin,2,46,5.2,1
T20,Spinning,Humid,Premadasa,SriLanka,Pakistan,Hasaranga,LegSpin,3,19,5.0,1
ODI,Green,Cloudy,HagleyOval,NewZealand,India,Boult,LeftArmFast,3,38,4.7,1
T20,Flat,Sunny,EdenPark,NewZealand,England,Henry,RightArmFastMedium,1,33,8.3,0
ODI,Dry,Sunny,Lords,England,SouthAfrica,Woakes,RightArmFastMedium,2,50,5.5,0
T20,Slow,Humid,Mirpur,Bangladesh,Afghanistan,Mustafizur,LeftArmFastMedium,2,24,6.2,1
ODI,Spinning,Sunny,EdenGardens,India,Australia,KuldeepYadav,LegSpin,3,33,4.4,1
T20,Flat,Hot,SCG,Australia,WestIndies,Cummins,RightArmFast,1,36,9.0,0
ODI,Green,Overcast,Johannesburg,SouthAfrica,England,Nortje,RightArmFast,3,42,5.1,1
T20,Spinning,Dry,Sharjah,Afghanistan,India,MujeebUrRahman,OffSpin,2,23,6.1,1
ODI,Slow,Sunny,PortOfSpain,WestIndies,Pakistan,Holder,RightArmMedium,1,54,5.8,0
T20,Flat,Windy,Barbados,WestIndies,Bangladesh,AlzarriJoseph,RightArmFast,2,29,7.4,1
ODI,Flat,Sunny,Newlands,SouthAfrica,WestIndies,Shamsi,LeftArmSpin,2,41,4.6,1
T20,Green,Cloudy,OldTrafford,England,NewZealand,Wood,RightArmFast,2,27,6.4,1
ODI,Dry,Sunny,AdelaideOval,Australia,India,Hazlewood,RightArmFastMedium,1,56,5.9,0
T20,Spinning,Humid,Premadasa,SriLanka,England,Chameera,RightArmFast,1,31,7.8,0
ODI,Spinning,Overcast,Mirpur,Bangladesh,SouthAfrica,NasumAhmed,LeftArmSpin,2,39,4.7,1
T20,Flat,Hot,Dubai,Afghanistan,Pakistan,NaveenUlHaq,RightArmMedium,1,35,8.7,0
ODI,Green,Cloudy,Lords,England,Pakistan,Archer,RightArmFast,3,37,4.9,1
T20,Slow,Humid,Pallekele,SriLanka,Afghanistan,Hasaranga,LegSpin,2,22,5.8,1
ODI,Flat,Sunny,Wankhede,India,WestIndies,Shami,RightArmFast,2,49,5.3,1
T20,Spinning,Sunny,Cardiff,England,Bangladesh,Rashid,LegSpin,2,24,6.0,1
ODI,Green,Overcast,Centurion,SouthAfrica,India,Ngidi,RightArmFastMedium,2,45,5.0,1
T20,Flat,Windy,EdenPark,NewZealand,Australia,Ferguson,RightArmFast,1,38,9.2,0
ODI,Dry,Sunny,Newlands,SouthAfrica,Afghanistan,Rabada,RightArmFast,2,47,4.9,1
T20,Spinning,Dry,Sharjah,Afghanistan,WestIndies,QaisAhmad,LegSpin,2,26,6.3,1
ODI,Slow,Overcast,PortOfSpain,WestIndies,England,Roach,RightArmFast,2,44,4.8,1
T20,Flat,Hot,SCG,Australia,Pakistan,Starc,LeftArmFast,2,29,7.2,1
ODI,Spinning,Sunny,EdenGardens,India,Bangladesh,Ashwin,OffSpin,2,38,4.6,1
T20,Green,Cloudy,HagleyOval,NewZealand,SouthAfrica,Southee,RightArmFastMedium,2,25,6.3,1
ODI,Dry,Sunny,AdelaideOval,Australia,NewZealand,Abbott,RightArmFastMedium,1,52,5.4,0
T20,Slow,Humid,Mirpur,Bangladesh,India,TaskinAhmed,RightArmFast,2,27,6.7,1
ODI,Flat,Hot,Gaddafi,Pakistan,SriLanka,HasanAli,RightArmFastMedium,2,46,5.1,1
T20,Spinning,Sunny,Premadasa,SriLanka,WestIndies,Theekshana,OffSpin,2,23,5.9,1
ODI,Green,Cloudy,Johannesburg,SouthAfrica,England,Rabada,RightArmFast,3,40,5.0,1
T20,Flat,Windy,Barbados,WestIndies,NewZealand,AlzarriJoseph,RightArmFast,1,37,8.8,0
ODI,Slow,Overcast,Pallekele,SriLanka,Pakistan,MatheeshaPathirana,RightArmFast,2,42,4.9,1
T20,Flat,Sunny,EdenPark,NewZealand,India,Henry,RightArmFastMedium,1,34,8.1,0
ODI,Spinning,Sunny,Mirpur,Bangladesh,Afghanistan,MehidyHasan,OffSpin,3,36,4.5,1
T20,Green,Cloudy,OldTrafford,England,Pakistan,Topley,LeftArmFastMedium,2,26,6.2,1
ODI,Dry,Sunny,Newlands,SouthAfrica,Australia,Maharaj,LeftArmSpin,2,43,4.7,1
T20,Spinning,Dry,Sharjah,Afghanistan,SriLanka,MujeebUrRahman,OffSpin,2,25,6.4,1
ODI,Flat,Overcast,Lords,England,India,Woakes,RightArmFastMedium,2,48,4.9,1
T20,Slow,Humid,Premadasa,SriLanka,Australia,Chameera,RightArmFast,1,33,7.9,0
ODI,Green,Cloudy,HagleyOval,NewZealand,WestIndies,Boult,LeftArmFast,3,39,4.8,1
T20,Flat,Hot,Dubai,Afghanistan,England,NaveenUlHaq,RightArmMedium,1,36,8.6,0
ODI,Spinning,Sunny,EdenGardens,India,SouthAfrica,Jadeja,LeftArmSpin,3,32,4.4,1
T20,Flat,Windy,Barbados,WestIndies,Pakistan,Russell,RightArmFastMedium,1,35,8.3,0
ODI,Slow,Sunny,PortOfSpain,WestIndies,SriLanka,AkealHosein,LeftArmSpin,2,38,4.6,1
T20,Green,Overcast,TrentBridge,England,NewZealand,Archer,RightArmFast,2,28,6.5,1
ODI,Dry,Sunny,AdelaideOval,Australia,Bangladesh,Starc,LeftArmFast,2,47,5.0,1
T20,Spinning,Humid,Mirpur,Bangladesh,WestIndies,NasumAhmed,LeftArmSpin,2,24,6.1,1
ODI,Flat,Hot,Gaddafi,Pakistan,India,NaseemShah,RightArmFast,1,55,5.7,0
T20,Slow,Sunny,Cardiff,England,Afghanistan,MoeenAli,OffSpin,1,29,7.0,0
ODI,Spinning,Overcast,Mirpur,Bangladesh,England,ShakibAlHasan,LeftArmSpin,3,35,4.5,1
T20,Flat,Hot,SCG,Australia,SouthAfrica,Hazlewood,RightArmFastMedium,1,34,8.2,0
ODI,Green,Cloudy,Centurion,SouthAfrica,Pakistan,Ngidi,RightArmFastMedium,2,44,4.9,1
T20,Spinning,Dry,Sharjah,Afghanistan,India,RashidKhan,LegSpin,3,20,5.0,1
ODI,Dry,Sunny,Lords,England,WestIndies,Wood,RightArmFast,2,46,5.1,1
T20,Flat,Windy,EdenPark,NewZealand,Australia,Ferguson,RightArmFast,1,37,9.1,0
ODI,Slow,Overcast,Pallekele,SriLanka,NewZealand,Theekshana,OffSpin,2,39,4.8,1
T20,Flat,Sunny,SCG,Australia,India,Siraj,RightArmFast,1,32,8.0,0
ODI,Green,Cloudy,HagleyOval,NewZealand,SouthAfrica,Southee,RightArmFastMedium,2,42,4.8,1
T20,Spinning,Humid,Premadasa,SriLanka,Bangladesh,Hasaranga,LegSpin,3,22,5.3,1
ODI,Flat,Sunny,Newlands,SouthAfrica,India,Rabada,RightArmFast,2,45,5.0,1
T20,Slow,Humid,Mirpur,Bangladesh,Pakistan,TaskinAhmed,RightArmFast,2,29,6.9,1
ODI,Spinning,Sunny,EdenGardens,India,WestIndies,AxarPatel,LeftArmSpin,2,37,4.6,1
T20,Flat,Hot,Dubai,Afghanistan,NewZealand,NaveenUlHaq,RightArmMedium,1,35,8.4,0
ODI,Green,Overcast,Johannesburg,SouthAfrica,Australia,Nortje,RightArmFast,3,41,5.2,1
T20,Spinning,Dry,Sharjah,Afghanistan,England,QaisAhmad,LegSpin,2,24,6.2,1
ODI,Dry,Sunny,AdelaideOval,Australia,Pakistan,Hazlewood,RightArmFastMedium,2,48,5.1,1
T20,Flat,Windy,Barbados,WestIndies,Bangladesh,Cottrell,LeftArmFast,1,36,8.6,0
ODI,Slow,Overcast,PortOfSpain,WestIndies,India,Roach,RightArmFast,2,43,4.9,1
T20,Green,Cloudy,OldTrafford,England,SriLanka,Topley,LeftArmFastMedium,2,25,6.1,1
ODI,Flat,Sunny,Wankhede,India,SouthAfrica,Bumrah,RightArmFast,3,39,4.7,1
T20,Slow,Humid,Premadasa,SriLanka,WestIndies,Chameera,RightArmFast,1,31,7.6,0
ODI,Spinning,Sunny,Mirpur,Bangladesh,Afghanistan,MehidyHasan,OffSpin,3,34,4.4,1
T20,Flat,Hot,SCG,Australia,England,Abbott,RightArmFastMedium,1,33,8.1,0
ODI,Green,Cloudy,Centurion,SouthAfrica,NewZealand,Ngidi,RightArmFastMedium,2,46,5.0,1
T20,Spinning,Sunny,Cardiff,England,Pakistan,Rashid,LegSpin,2,23,5.9,1
ODI,Dry,Sunny,Lords,England,Bangladesh,Woakes,RightArmFastMedium,2,44,4.8,1
T20,Flat,Windy,EdenPark,NewZealand,WestIndies,Henry,RightArmFastMedium,1,36,8.5,0
ODI,Slow,Overcast,Pallekele,SriLanka,England,MatheeshaPathirana,RightArmFast,2,41,4.9,1
T20,Spinning,Humid,Mirpur,Bangladesh,SouthAfrica,Mustafizur,LeftArmFastMedium,2,26,6.5,1
ODI,Flat,Sunny,Newlands,SouthAfrica,Pakistan,Shamsi,LeftArmSpin,2,40,4.7,1
T20,Green,Cloudy,HagleyOval,NewZealand,India,Boult,LeftArmFast,2,28,6.4,1
ODI,Dry,Sunny,AdelaideOval,Australia,Afghanistan,Starc,LeftArmFast,2,47,5.2,1
T20,Spinning,Dry,Sharjah,Afghanistan,SriLanka,RashidKhan,LegSpin,3,21,5.1,1
ODI,Spinning,Sunny,EdenGardens,India,Australia,Ashwin,OffSpin,2,36,4.5,1
T20,Flat,Hot,Dubai,Afghanistan,WestIndies,NaveenUlHaq,RightArmMedium,1,37,8.7,0
ODI,Green,Overcast,Johannesburg,SouthAfrica,England,Rabada,RightArmFast,3,40,5.0,1
T20,Spinning,Humid,Premadasa,SriLanka,Pakistan,Hasaranga,LegSpin,3,20,5.2,1
T20,Green,Windy,MCG,Australia,SriLanka,Jhye Richardson,RightArmMedium,0,37,10.1,0
